word	ipa	russian_def	georgian_def
ჩიჩილაკი	t͡ʃit͡ʃilak'i	палочка со стружками украшенный сладостями и фруктами (в некоторых уголках Грузии в качестве новогодней елки)	ჩიჩილაკი, ბურბუშელაათლილი ჯოხი, მორთული ტკბილეულითა და ხილით (საახალწლოდ საქართველოს ზოგიერთ კუთხეში)
ჩიჩიხი//ჩჷჩჷხი	t͡ʃit͡ʃixi//t͡ʃət͡ʃəxi	хлопкоочиститель (инструмент для очистки хлопка-сырца)	ჩიხრიხი; ხელსაწყო, რომელიც ბამბას აცლის კურკებს
ჩიჩიხუა//ჩჷჩჷხუა	t͡ʃit͡ʃixua//t͡ʃət͡ʃəxua	очищать (хлопок-сырец)	ჩიხრიხით ბამბის თესლების გაცლა
ჩიჩოლი	t͡ʃit͡ʃoli	крошить кукурузу	ფშვნა სიმინდისა
ჩიჩოლირი	t͡ʃit͡ʃoliri	накрошенный	დაფშვნილი
ჩიჩოლუა//ჩინჩოლუა	t͡ʃit͡ʃolua//t͡ʃint͡ʃolua	крошить, молотить (кукурузу)	დაფშვნა (სიმინდის)
ჩიხილი	t͡ʃixili	запруда	საგუბარი, წყლის საწრეტი
ჩიხუ//ჩჷხჷ	t͡ʃi/xu//t͡ʃəxə	поросенок (подросший)	ბურვაკი
ჩოგანი см. ხვარჩინი	t͡ʃogani см. xvart͡ʃini	деревянная лопата для вынимания из котла гоми	ჩოგანი (ქვაბიდან ღომის ამოსაღები)
ჩოგანია	t͡ʃogania	маленькая деревянная лопатка для вынимания из котла гоми	პატარა ჩოგანი
ჩოლამა: ჩოდუ	t͡ʃolama: t͡ʃodu	иметь время, удосужиться > у него есть время	მოცლა > მას სცალია
ჩოლერი	t͡ʃoleri	1. порожный; пустой 2. досужий	გაცლილი; ცარიელი 2. მოცლილი
ჩოლუა: ჩოლანს, გოჩოლუუ; იჩოლუუ, გიიჩოლუ	t͡ʃolua: t͡ʃolans, got͡ʃoluu; it͡ʃoluu, giit͡ʃolu	опоражнить > он опоражняает, он опорожнил; он опоражняется, (	გა)ცლა, (და)ცლა > ის ცლის, მან გაცალა; ის იცლება, он опорожнился ის გაიცალა
ჩონგური	t͡ʃonguri	чонгур	ჩონგური
ჩონჩი	t͡ʃont͡ʃi	ветошь, непригодный (морально)	უვარგისი (მორალურად), ძველმანი
ჩონჩორი	t͡ʃont͡ʃori	помет (лошади, осла), навоз	ვირის, ცხენის განავალი, ჩონჩორიკი
ჩორომა	t͡ʃoroma	огромный (о сосуде), чаша (большая)	დიდი მოცულობის სასმისი, ფიალა
ჩორქო	t͡ʃorko	копыто (непарное)	ფლოქვი, ჩლიქი 384 ჩ
ჩორჩხოია	t͡ʃort͡ʃxoia	заразиха	კელაპტარა
ჩოუ	t͡ʃou	но! (понукание лошади)	აჩუ! ( შეძახილი ცხენისადმი)
ჩოურცხალი см. უჩურცხ(ებ)ელი	t͡ʃourcxali см. ut͡ʃurcx(eb)eli		
ჩოქინი см. ჩოქუა	t͡ʃokini см. t͡ʃokua		
ჩოქუა	t͡ʃokua	поставить на колени, преклонять колено (	და)ჩოქება
ჩოჩიკე	t͡ʃot͡ʃike	ослёнок	ჩოჩორი
ჩოჩორი	t͡ʃot͡ʃori	ослёнок	ჩოჩორი
ჩოჩუა	t͡ʃot͡ʃua	ползать	ფორთხვა, ჩოჩვა
ჩუალა	t͡ʃuala	беречь, прятать, скрывать, сохранять (	და)მალვა, (და)ფარვა, შენახვა
ჩუალირი	t͡ʃualiri	защищенный, сохранённый, скрытый, укрытый (	და)მალული, (და)ფარული, დაცული, შენახული
ჩუ(ვ)ანი	t͡ʃu(v)ani	котел (чугунный)	თუჯის ქვაბი
ჩუვანია	t͡ʃuvania	котелок (чугунный)	თუჯის პატარა ქვაბი
ჩუთუ	t͡ʃutu	импотент	ცვედანი
ჩუნაფა	t͡ʃunapa	доводить, увариться, преть (о гоми)	შუშება, დაშუშება, ჩაშუშება (ღომის)
ჩუნაფილი	t͡ʃunapili	уваренный (гоми)	ჩაშუშული, ჩახარშული ღომი
ჩუნგა см. ჩვი(ნ)გა	t͡ʃunga см. t͡ʃvi(n)ga	остолоп	სულელი, ჩლუნგი
ჩუპა см. ჭიპე	t͡ʃup'a см. t͡ʃ'ipe	пуп	ჭიპი
ჩუპატარა	t͡ʃup'at'ara	окунь (речной), рыба, красноватый (внизу)	ქორჭილა
ჩუპეში	t͡ʃup'eʃi	сорт винограда	ვაზის სახეობა
ჩური	t͡ʃuri	1. вымя (vulva) 2. женский половой орган	ცური 2. ქალის სასქესო ორგანო
ჩურპეტერი	t͡ʃurp'et'eri	лобан	კეფალი
ჩურუა: ჩურუნს, გოჩურუ	t͡ʃurua: t͡ʃuruns, got͡ʃuru	плавать > он плавает, он поплыл	ცურვა > ის ცურავს, მან გაცურა
ჩუქება: აჩუქენს, ქაჩუქუ	t͡ʃukeba: at͡ʃukens, kat͡ʃuku	дарить > он дарит ему, он подарил ему	ჩუქება > ის აჩუქებს მას მას, მან აჩუქა მას ის
ჩუჩელა	t͡ʃut͡ʃela	чучело	ფიტული
ჩუჩი//ჩუჩა	t͡ʃut͡ʃi//t͡ʃut͡ʃa	залупа, крайняя плоть детородного органа, praepotium (уменьш.	კანის ნაოჭი მამაკაცის სასქესო ორგანოს ბოლოში, от ჩური [t͡ʃuri]) ჩუჩა
ჩუჩუბამი	t͡ʃut͡ʃubami	пузатый, полный (о человеке), толстобрюхий	ჩუჩუბი [t͡ʃut͡ʃubi] 1. полнота (на животе, на шее, теле) 2. пузо, брюшко ღიპიანი, ქეშელა, დიდმუცლიანი 1. სისავსე, გავსილობა (მუცელზე, კისერზე, ტანზე) 2. ღიპი, ქეშელა მუცელი
ჩუჩუპა	t͡ʃut͡ʃup'a	пузо, отвислый живот	ჩუპე (ჩუმპე), ჭიპის ქვემოთ მუცლის რბილი ნაწილი; დაშვებული მუცელი
ჩქარას	t͡ʃkaras	быстро	სწრაფად, ჩქარა
ჩქარი	t͡ʃkari	быстрый	სწრაფი, ჩქარი
ჩქაჩქუა	t͡ʃkat͡ʃkua	некрасиво откусывать	ულამაზოდ (მო)კბეჩა
ჩქვ(//ə)ა мн.ч. ჩქვალ-ეფ-ი	t͡ʃkv(//w)a мн. ч. t͡ʃkval-ep-i	клык	ეშვი
ჩქვ(//ə)ამი	t͡ʃkv(//w)ami	клыкастый	ეშვიანი
ჩქვაფა1	t͡ʃkvapa	превращать, сделаться	გადაქცევა, გახდომა ჩქვაფა2 см. ჩქუმალა [t͡ʃkvapa см. t͡ʃkumala] посылать (о человеке) გაგზავნა (ადამიანის)
ჩქვაფაფი: ჩქვაფუნს, ჩქვაფუ; გითოჩქვაფაფი	t͡ʃkvapapi: t͡ʃkvapuns, t͡ʃkvapu; gitot͡ʃkvapapi	трескать, лакать > он лакает, он (по)лакал; лакать под чем-либо	თქვლეფა > ის თქვლეფს, მან (ა)თქვლიფა; თქვლეფა რამის ქვეშ
ჩქვაფინი см. ჩქვაფაფი	t͡ʃkvapini см. t͡ʃkvapapi		
ჩქვაჩქუა	t͡ʃkvat͡ʃkua	раздроблять (	და)ჩეჩქვა
ჩქვაჩქვირი	t͡ʃkvat͡ʃkviri	раздробленный	დაჩეჩქვილი
ჩქი//ჩქჷ	t͡ʃki//t͡ʃkə	мы	ჩვენ
ჩქიმი	t͡ʃkimi	мой	ჩემი
ჩქიმითური	t͡ʃkimituri	родные, кровные родственники	ჩემიანი, ჩემი ახლობელი (სისხლით)
ჩქიმ(ი)ჯგურა	t͡ʃkim(i)d͡ʒgura	подобный мне	ჩემნაირი, ჩემი მსგავსი
ჩქიმობუათ	t͡ʃkimobuat	от моего имени, моим именем	ჩემი სახელით
ჩქინა см. (რ)ჩქინა	t͡ʃkina см. (r)t͡ʃkina	1. знание, знать 2. думать, полагать 3. показать; проявить, появ-	ცოდნა 2. ფიქრი 3. (გამო)ჩენა ление
ჩქინებურა мн.ч. ჩქინებურ-ეფ-ი	t͡ʃkinebura мн.ч. t͡ʃkinebur-ep-i	свойственный нам, по-нашему	ჩვენებური
ჩქინი//ჩქჷნი	t͡ʃkini//t͡ʃkəni	наш	ჩვენი
ჩქინობურა//ჩქჷნობურა//ჩქინებურა	t͡ʃkinobura//t͡ʃkənobura//t͡ʃkinebura	из наших краев, по-нашему, свойственный нам	ჩვენებური 386 ჩ
ჩქი/ჷნობური	t͡ʃki/ənoburi	наш, нашенский	ჩვენებური
ჩქიფი	t͡ʃkipi	вилка	ჩანგალი
ჩქიჩქოლი	t͡ʃkit͡ʃkoli	галдеть; галдеж; шум, гам	ღრიანცელი, ყაყანი
ჩქიჩქონუა//ჩქიჩქონუნს	t͡ʃkit͡ʃkonua//t͡ʃkit͡ʃkonuns	1. рыть > он роет 2. перен. некрасиво есть	უშნოდ თხრა, ჩიჩქნა > ის ჩიჩქნის, იჩიჩქნება 2. გადატ. უშნოდ ჭამა
ჩქიჩქუ//ჩქჷჩქჷ мн.ч. ჩქიჩქუ-ეფ-ი	t͡ʃkit͡ʃku//t͡ʃkət͡ʃkə мн.ч. t͡ʃkit͡ʃku-ep-i	1. дитя, ребенок 2. мягкий, свежий, нежный	ჩვილი ბავშვი 2. ახალი, ნედლი, ჩვილი
ჩქონი	t͡ʃkoni	остров	კუნძული
ჩქუმალა ср. ჩქვაფა2	t͡ʃkumala ср. t͡ʃkvapa	посылать (человека)	გაგაზავნა (ადამიანისა)
ჩქუმალირი	t͡ʃkumaliri	посланный (об одушевленном)	გაგზავნილი (ადამიანზე ითქმის)
ჩხანა ср. ბჟა2	t͡ʃxana ср. bʒa	солнце	მზე
ჩხანაფა: გეუჩხანუანს, გეუჩხანუუ	t͡ʃxanapa: geut͡ʃxanuans, geut͡ʃxanuu	жариться на солнце, палить > он опалит, он опалил	მზეზე მიფიცხება, მზით დაწვა > ის დაწვავს, მან დაწვა
ჩხაპალი: ჩხაპალანს, ჩხაპალუუ	t͡ʃxap'ali: t͡ʃxapalans, t͡ʃxapaluu	брызгать; крапать, кропить > он брызгает, он крапает; дождь	პკურება, წინწკვლა > ის აპკურებს, ის წინწკლავს; მან брызнул, крапнул აპკურა, (წვიმამ) იწინწკლა
ჩხაპი	t͡ʃxap'i	брызг, брызги	შხაპი, წვიმის შხეფი
ჩხაპუა	t͡ʃxap'ua	взбрызнуть, брызгать, брызнуть; окропить (	მო)სხურება, (შე)სხურება, (შე)შხეფება
ჩხარჩხალი	t͡ʃxart͡ʃxali	журчание	ჩხრიალი, ჩუხჩუხი
ჩხარჩხალუა	t͡ʃxart͡ʃxalua	1. журчать 2. клокотать, побрякивать	ჩხრიალი 2. ჩუხჩუხი
ჩხაჩხუტელა	t͡ʃxat͡ʃxut'ela	очень пестрый	ჭრელაჭრულა
ჩხაჩხუტელი	t͡ʃxat͡ʃxut'eli	испещренный; перен. усыпанный	აჭრელებული; გადატ. დახუნძლული
ჩხე	t͡ʃxe	горячий	ცხელი
ჩხეტუტა	t͡ʃxet'ut'a	горячая зола	ღველფი, ცხელი ნაცარი
ჩხეფი см. ჩხაპი	t͡ʃxepi см. t͡ʃxapi		
ჩხეშა	t͡ʃxeʃa	круп (лошади); бедро	გავა (ცხენის); თეძო
ჩხე-ჩხე	t͡ʃxe-t͡ʃxe	прегорячий, очень горячий	ცხელ-ცხელი
ჩხე-ხურება	t͡ʃxe-xureba	горячка, лихорадка	ციებ-ცხელება
ჩხვარონი	t͡ʃxvaroni	местонахождение хвороста, валежник	ნაცეხვი; ფიჩხნარი, ადგილი, სადაც ბევრი ფიჩხის (ნაცეხვი მასის) ნაყარია
ჩხვარუა	t͡ʃxvarua	молотить (гоми)	ცეხვა (ღომის)
ჩხვეკი	t͡ʃxvek'i	хворост	ფიჩხი
ჩხვერი	t͡ʃxveri	1. пшено; просо 2. зернышко, гоми (итальянское просо)	ფეტვი, ფეტვის ბურღული 2. წვრილი მარცვალი (ღომის, ფეტვის)
ჩხვე(რ)კი см. ჩხვეკი	t͡ʃxve(r)k'i см. t͡ʃxvek'i		
ჩხვიაფი см. (რ)ჩხვიაფი	t͡ʃxviapi см. (r)t͡ʃxviapi		
ჩხვიკი	t͡ʃxvik'i	сойка	ჩხიკვი
ჩხვინდამი	t͡ʃxvindami	носатый, с носом	ცხვირიანი
ჩხ(ვ)ინდი: ჩხვინდი მუკორთელი	t͡ʃx(v)indi: t͡ʃx(v)indi muk'orteli	нос > с загнутым носом	ცხვირი > ცხვირმოქცეული
ჩხვინდიშ ფირთხი	t͡ʃxvindiʃ pirtxi	ноздря	ნესტო
ჩხვინდიშ ხვირი см. ჩხვინდიშ ფირთხი	t͡ʃxvindiʃ xviri см. t͡ʃxvindiʃ pirtxi		
ჩხვინდსვირთა	t͡ʃxvindsvirta	носатый	ცხვირა, გრძელცხვირა
ჩხვინჩხვი1	t͡ʃxvint͡ʃxvi	корень (дерева)	ფესვი, ძირი (მცენარის)
ჩხვიჩხვი2	t͡ʃxvit͡ʃxvi	верхушка растения (напр., кукурузы)	სიმინდის კატარი
ჩხვიტუა	t͡ʃxvit'ua	колоть	ჩხვლეტა ჩხილიტი: ცხენქ ჩხილიტი კინიიკათუუ; ჩხომქჷ ჩხილიტი კინიიკათუუ წყარს [t͡ʃxilit'i: cxenk t͡ʃxilit'i k'iniik'atuu; t͡ʃxomkə t͡ʃxilit'i k'iniik'atuu t͡sq'ars] 1. звякать, побрякивать; шум, плеск воды 2. споткнуться > лоша- дь споткнулась, рыба шлепнулась в воду 1. ჩხარუნი, ხმაური, შხაპუნი წყლისა 2. წაბორძიკება (ამ დროს გამოცემული ხმა)> ცხენი წაბორძიკდა (ჩხრიალი გაადინა); თევზმა თქაფანი გაადინა წყალში
ჩხინკოლირი	t͡ʃxinkoliri	перебитый, разбитый (о стекле)	დალეწილი, (და)მსხვრეული
ჩხინკოლუა	t͡ʃxink'olua	ломать, разбивать (стекло, тарелки); перебить (	და)მტვრევა, (და)მსხვრევა; (და)ლეწვა
ჩხირკელი	t͡ʃxirk'eli	вырытый, расковырянный	გამოჩხრეკილი, გამოჩხიკნილი
ჩხირკუა: ჩხირკანს	t͡ʃxirk'ua: t͡ʃxirk'ans	ковырять(ся), копать(ся)> он копает(ся)	ქექვა, ჩხრეკვა > ის ჩხრეკს
ჩხომი	t͡ʃxomi	рыба	თევზი
ჩხომიში მაჭოფალი	t͡ʃxomiʃi mat͡ʃ'opali	рыбак, рыболов	მეთევზე, თევზის დამჭერი ჩხონაფა: ოჩხონუანს, ოჩხონუუ; ჩხონდუუ, ჩხონდუ [t͡ʃxonapa: ot͡ʃxonuans, ot͡ʃxonuu; t͡ʃxonduu, t͡ʃxondu] религ. блаженство; блаженный; спасение (души), спасать > он спасает его, он спас его; он спасается, он спасся ცხონება > ის აცხონებს მას, მან აცხონა ის, ცხონდება ის, ის ცხონდა 388 ჩ
ჩხონაფილი	t͡ʃxonapili	блаженный; спасенный, усопший	ცხონებული
ჩხონჩხამი	t͡ʃxont͡ʃxami	мужественный; перен. боевой, храбрый	ვაჟკაცი, ჯიგრიანი, გადატ. გულადი, მამაცი
ჩხონჩხი	t͡ʃxont͡ʃxi	печень	ღვიძლი, ჯიგარი
ჩხორთოლი	t͡ʃxortoli	Чхортоли (село)	ჩხორთოლი (სოფელი)
ჩხორია	t͡ʃxoria	луч	სხივი
ჩხორო	t͡ʃxoro	девять	ცხრა
ჩხორო ფა	t͡ʃxoro pa	девять слоев	ცხრაფა, ცხრა ფენა
ჩხოროში	t͡ʃxoroʃi	девятьсот	ცხრაასი
ჩხოროწყუ	t͡ʃxorot͡sq'u	Чхороцку (название поселка и района; букв. > девять источников, девять колодцев)	ჩხოროწყუ (დაბა, რაიონი; სიტყვასიტყვით > ცხრაწყარო, ცხრაჭა)
ჩხოტირი	t͡ʃxot'iri	уколотый	დაჩხვლეტილი
ჩხოტირია	t͡ʃxot'iria	человек с раздвоенной (заячьей) губой	ბაგეგაპობილი
ჩხოტუა	t͡ʃxot'ua	1. колоть, расколоть 2. ранить	პობა, ხეთქა 2. (და)კოდვა, დაჭრა
ჩხოუ мн.ч. ჩხოულ-ეფ-ი	t͡ʃxou мн.ч. t͡ʃxoul-ep-i	корова	ძროხა
ჩხუპი//ჩხუბი	t͡ʃxup'i//t͡ʃxubi	1. драка, ссора 2. война	შფოთი, ჩხუბი 2. ომი
ჩხური	t͡ʃxuri	холодный	ცივი
ჩხურუ см. ჩხური	t͡ʃxuru см. t͡ʃxuri		
ჩხუჩეში	t͡ʃxut͡ʃeʃi	сорт винограда	ვაზის ჯიში t' 389 t'
ცა	ca	1. небо 2. нёбо	ზეცა 2. სასა
ცადა	cada	1. попытка, пытаться, стараться, старание 2. ждать	მცდელობა, ცდა 2. ლოდინი, ცდა, მოცდა
ცადამაყვანა	cadamaq'vana	мухомор (И. Кипш.)	შხამა სოკო, ციდამაყვანა (ი. ყიფშ.)
ცადება см. ცადა: ცადენს	cadeba см. cada: cadens	1. ждать 2. пытаться, стараться > он старается 1. (	მო)ცდა 2. ცდა > ის ცდის (ცდილობს)
ცადინი см. ცადა	cadini см. cada		
ცაკვაია	cak'vaia	дорожная сумка, саквояж	სამგზავრო ჩანთა, საკვოიაჟი
ცაკვალა	cak'vala	семенящий, ходящий маленькими шажками	ცუნცულით მოსიარულე, მოცუნცულე
ცაკვალი	cak'vali	семенить	ცუნცული
ცალი	cali	1. один из двух разных предметов, штука 2. тюк	ცალი 2. ბარდანა, ფუთა
-ცალი: სქანიცალი	-cali: skanicali	подобный > подобный тебе	ნაირი, მსგავსი > შენისთანა, შენნაირი
ცალიორი	caliori	пустой	ცარიელი
ცალი ხე: ცალიხე დიხა	cali xe: calixe dixa	одна рука; перен. немного, горсть, горсточка > немного земли	ერთი ხელი; გადატ. ხელის ოდენა > ერთი მუჭა მიწა
ცალუა см. ცელი: ცალუნს, დოცალუ	calua см. celi: caluns, docalu	косить > он косит, он скосил	ცელვა > ის ცელავს, მან მოცელა
ცაშხა	caʃxa	четверг	ხუთშაბათი
ცამულერი	camuleri	искромсанный на мелкие куски	წვრილად, ნაკუწებად დაჭრილი
ცამულუა	camulua	кромсать, резать на куски	დანაკუწება, წვრილად (და)ჭრა
ცამცუმი см. ციმცამი	camcumi см. cimcami		
ცანდი	candi	1. часть ноги от колена до ступни, голень 2. крученый прут	ფეხი მუხლის ქვემოთ 2. დაგრეხილი წნელი, ღვლერჭი
ცანცალი: ცანცალანს, დიიცანცალუ	cancali: cancalans, diicancalu	дрожать > он дрожит, он (за)дрожал	კანკალი, ცანცალი > ის კანკალებს, მან იკანკალა
ცარცილი	carcili	разрыхленная земля	გაფხვიერებული, ფხვიერი მიწა
ცარცუა	carcua	рыхлить, разрыхление	გაფხვიერება
ცაში ორტყაფუ	caʃi ort'q'apu	радуга	ცისარტყელა 390 t'
ცაშკარი	caʃk'ari	заря	ცისკარი
ცაშფერი	caʃperi	голубой	ცისფერი
ცამეტი	camet'i	цемент	ცემენტი
ცაცაფა	cacapa	прикасаться (слегка), дотрагиваться, гладить рукой ласково	ცაცაფი [cacapi] 1. ходить на цыпочках 2. дотрагиваться ласково, гладить рукой ласково
ცაცინი см. ცაცაფი	cacini см. cacapi		
ცაცუა	cacua	ходить на цыпочках; подкрадываться (незаметно); семенить	ცაცება, ცაცუნი, შეხება 1. ფეხაკრეფით სიარული 2. ცაცუნი (ხელის) ფეხაკრეფით სიარული; შეუმჩნევლად მიპარვა, მიცუნცულება
ცაცუნა	cacuna	род сливок	ნაღების სახეობა
ცაცხუ см. t'(ხ)აცხუ	cacxu см. c(x)acxu		
ცახვაფი	caxvapi	тыкать пальцем, всунуть палец	თითის ჩაყოფა (ჩაჩრა); ჩხიკინი
ცახო(რ)ცი	caxo(r)ci	платок	თავსაფარი, ხილაბანდი
ცახუა	caxua	1. выбивать зерна (из гоми), толочь (зерно) 2. втереть, молотить	ცეხვა (ღომის მარცვლის) 2. ჩაზელა ღომის (гоми)
ცეკა см. ჩაკა	cek'a см. t͡ʃak'a	род большой корзины	დიდი გოდრის სახეობა
ცელი см. ცალუა	celi см. calua	коса	ცელი
ცერგული: იცერგულუ	cerguli: icergulu	балагурство; балагурить > он балагурит	ლაზღანდარობა, მასხარაობა > ის ლაზღანდარობს, მასხრობს
ცერგულია	cergulia	балагур, шутник	ლაზღანდარა, მასხარა, ოხუნჯი
ცეროცო см. ცოროცე//ცოროცო	ceroco см. coroce//coroco	укроп огородный	კამა, ცერეცო
ცეროცი	ceroci	полынь однолетняя	უჯანგარი, აბზინდა
ცი//ცჷ	ci//cə	вяз, ильм	თელა
ციბ-ციბ!	cib-cib	кис-кис!	ციფ-ციფ!
ციბა//ცჷბა	ciba//cəba	киска	ფისო, ფისუნია
ციბუნია	cibunia	котёночек; котенок	კატუნია; კნუტი
ციგანი	cigani	цыган	ციგანი t' 391
ციგანუა//ციგანობა	ciganua//ciganoba	1. шутить; острить 2. безобразничать	ხუმრობა 2. უშვერი ქცევა
ციება	cieba	лихорадка	ციება, ციებ-ცხელება
ციკი	cik'i	1. часть дома 2. анат. клитор	ციკინაფილი см. ეციკინაფილი [cik'inapili см. ecikinapili] прич. 1. торчащий 2. выдвинутый 1. სახლის ნაწილი 2. ქალთა ასო რამ (საბა), ციკი 1. გამოშვერილი, გამობზეკილი 2. გამოწეული
ციკინაფა	cik'inapa	1. торчать (о мелких предметах) 2. задрать верх (голову, пальцы) 1. (	გამო)შვერა (წვრილი რამისა) 2. მაღლა აწევა, აშვერა (თავის, თითების)
ცი(ლ)ა	ci(l)a	белок (яичный)	ცილა (კვერცხის)
ცილორია//ცჷლორია	ciloria//cəloria	пролезать, пролезть со скрежетом	ღრჭიალით გამოსვლა
ციმა//ცჷმა см. ცუმა//ცჷმა	cima//cəma см. cuma//cəma	1. сыпаться, падать 2. лезть (о волосах); осыпаться; падение	ცვენა 2. დაცვენა (თმების)
ციმბალი см. ცინდალი	cimbali см. cindali		
ციმუ//ცჷმუ	cimu//cəmu	жир; тук	ქონი; ცმელი, ცხიმი
ციმუა см. ციმ(t͡ʃ')ვა//ცჷმ(t͡ʃ')ვა	cimua см. cim(‘)va//cəm(‘)va	земляника	მარწყვი
ციმულუღი//ცჷმულუღი	cimuluɣi//cəmuluɣi	род инжира (маленький и очень сладкий)	ლეღვის სახეობა (პატარა და ძალიან ტკბილი)
ციმცამი	cimcami	звук (слабый), шумок	ჩამიჩუმი
ციმ(t͡ʃ')ვა//ცჷმ(t͡ʃ')ვა см. ციმუა//ცჷმუა	cim(‘)va//cəm(‘)va см. cimua//cəmua		
ცინდა	cinda	пядень (расстояние между концом указательного и большого	ციდა пальца)
ცინდალი	cindali	котенок	კნუტი (კატისა)
ციორი	ciori	1. сплетня, толки, распускать слух 2. падать (о снеге), снежить (мелко), порошить 3. шептать, шептаться	ჭორი, მითქმა-მოთქმა, ხმის დარხევა 2. წვრილად თოვა, ფიფქვა 3. ჩუმად ლაპარაკი, ჩურჩული
ციორუა: დოციორუ	ciorua: docioru	есть (понемногу) > он немного поел	ციჟაფი//ცჷჟაფი: ცჷჟანს (ჭვიმა) [ciʒapi//cəʒapi:cəʒans (t͡ʃ'vima)] моросить (дождь)> моросит რამის ცოტა ჭამა > მან ცოტა (შე)ჭამა ცრია, ჟინჟღვლა > წვრილად წვიმს
ცირა//ცჷრა	cira//cəra	девица, девушка (незамужняя)	გაუთხოვარი გოგონა, ქალიშვილი
ცირასქუა мн.ч. ცირასქუალ-ეფ-ი	cira-skua мн.ч. ciraskual-ep-i	дочь, барышня	ქალიშვილი
ცირილი//ცჷრილი	cirili//cərili	просеянный	გაცრილი
ცირობა	ciroba	девичество	ქალიშვილობა
ცირუა//ცჷრუა	cirua//cərua	1. просеивать 2. моросить (дождь) 1. (	გა)ცრა 2. წვრილად წვიმა ცრა, ჟინჟღვლა 392 t'
ციტუ//ცჷტჷ	cit'u//cət'ə	малёк (рыбы)	ლიფსიტა, ჭიჭყინა
ციღვალი: ციღვალი ბოში	ciɣvali: ciɣvali boʃi	худощавый > худой мальчик	პატარა და სუსტი > გამხდარი
ციღვაფი	ciɣvapi	колоть (мелким орудием, напр., маленьким ножом)	წვრილი იარაღით (მაგ., პატარა დანით) ჩქარ-ჩქარი დარტყმით ჩხვლეტა
ციღუ: ციღუს ქოგუ თე ბაღანა	ciɣu: ciɣus kogu te baɣana	белка > этот ребенок похож на белку	ციყვი > ციყვს ჰგავს ეს ბავშვი
ციყვი	ciq'vi	белка	ციყვი
ციცანა	cicana	род гоми	ღომის სახეობა
ციცარი	cicari	цесарка	ციცარი
ციცხვი	cicxvi	большая деревянная ложка	ხის დიდი კოვზი, ციცხვი
ციცხა!	cicxa	брысь!	აცხა! ციცხა!
ციხე см. ჯიხა	cixe см. d͡ʒixa	тюрьма, крепость	ციხე, ციხესიმაგრე
ციხუა//ცჷხუა	cixua//cəxua	прокалывать (чем-нибудь мелким)	ჩხვლეტა (წვრილი რამით)
ციჸუა см. ყინტუა//ყირტუა: ციჸუნს, გეციჸუ	ci‘ua см. q'int'ua//q'irt'ua: ci‘uns, geci‘u	некрасиво глотать > он глотает, он проглотил	უშნოდ ყლაპვა > ის ყლაპავს, მან გადაყლაპა
ცოდა: ჩქიმი ცოდა!	coda: t͡ʃkimi coda!	1. грех 2. жалость > горе мне!	ცოდვა 2. სიბრალული > ჩემი ცოდვა! ცოდება: ცოდენს, შეცოდუ; ოცოდუ, ეცოდებუ//შეეცოდუ [codeba: codens, ʃecodu; ocodu, ecodebu//ʃeecodu] грешить; жалеть > он грешит, он согрешил; ему жаль его//ему შეცოდება; ცოდება > ის ცოდავს, მან შეცოდა; მას стало жаль его ეცოდება ის//მას შეეცოდა ის
ცოდილი	codili	грешник	ცოდვილი
ცოდილუა	codilua	мучиться, надрываться, трудиться	ცოდვილობა, წვალება, წელში გაწყდომა
ცომი	comi	тесто	ცომი
ცორობე см. ცოცუ	corobe см. cocu		
ცოროცე//ცოროცო см. ცეროცო	coroce//coroco см. ceroco		
ცორუა см. ნცორუა	corua см. ncorua		
ცოცო см. ცოცუ	coco см. cucu	кувшинчик	ქოცო, პატარა ქოთანი; სურა
ცოცუ	cocu	горшок (малый)	პატარა ქოთანი
ცოჸუა	co‘ua	подпрыгивать, скакать (на одной ноге)	ერთ ფეხზე ხტომა, ასკინკილა; მსუბუქად ხტომა, შეხტომა
ცუდება	cudeba	1. делать пустым; испортить 2. не исполнять, невыполнение 1. (	გა)ცუდება, გაფუჭება 2. შეუსრულებლობა t' 393
ცუმა//ცჷმა: ცენს	cuma//cəma: cens	сыпаться; осыпаться > он сыпиться	ცვენა; ცვივნა > ის ცვივა
ცუნაფა	cunapa	всовывать, просовывать	გაყრა, (შე)რჭობა; (შე)სობა, (შე)ჩრა
ცუნდი см. ცუნჯი	cundi см. cund͡ʒi	роса; капля	ნამი, ცვარი
ცუნდუა	cundua	покрываться росой	დანამვა
ცუნჯამი	cund͡ʒami	росистый	დანამული, ნამიანი
ცუნჯი	cund͡ʒi	роса	ნამი, ცვარი
ცურუ	curu	плющ	სურო
ცურღუტი	curɣut'i	1. бездельник, лодырь, ветреный 2. паршивый, презренный	ქარაფშუტა, ცუღლუტი 2. საზიზღარი, საძაგელი
ცუღუ	cuɣu	бездельник, ветреный, несерьезный	ცუღლუტი, ქარაფშუტა
ცუცქა	cucka	жучка, маленькая собачка	პატარა ძაღლი, მურია
ცუხი	cuxi	1. необработанный воск 2. мошенник, проходимец, лжец	ფიჭა 2. გაიძვერა, გაქნილი, თაღლითი, ვიგინდარა, თვალდათვალ მატყუარა
ცუჸუ см. ცუღუ	cu‘u см. cuɣu		
ცუჸუა см. ჸუცუა	cu‘ua см. ‘ucua		
